time;V(Net-_R1-Pad1_);V(Vcmp);
4.93203e-07;0.83025;1.94664;
4.93208e-07;0.85075;1.94846;
4.93213e-07;0.87125;1.95024;
4.93218e-07;0.89175;1.95197;
4.93223e-07;0.91225;1.95366;
4.93228e-07;0.93275;1.95529;
4.93233e-07;0.95325;1.95689;
4.93238e-07;0.97375;1.95843;
4.93243e-07;0.99425;1.95993;
4.93248e-07;1.01475;1.96139;
4.93253e-07;1.03525;1.96279;
4.93258e-07;1.05575;1.96416;
4.93263e-07;1.07625;1.96547;
4.93268e-07;1.09675;1.96674;
4.93273e-07;1.11725;1.96796;
4.93278e-07;1.13775;1.96913;
4.93283e-07;1.15825;1.97025;
4.93288e-07;1.17875;1.97133;
4.93293e-07;1.19925;1.97236;
4.93298e-07;1.21975;1.97335;
4.93303e-07;1.24025;1.97428;
4.93308e-07;1.26075;1.97517;
4.93313e-07;1.28125;1.97601;
4.93318e-07;1.30175;1.97681;
4.93323e-07;1.32225;1.97755;
4.93328e-07;1.34275;1.97825;
4.93333e-07;1.36325;1.9789;
4.93338e-07;1.38375;1.97951;
4.93343e-07;1.40425;1.98006;
4.93348e-07;1.42475;1.98057;
4.93353e-07;1.44525;1.98103;
4.93358e-07;1.46575;1.98144;
4.93363e-07;1.48625;1.9818;
4.93368e-07;1.50675;1.98212;
4.93373e-07;1.52725;1.98238;
4.93378e-07;1.54775;1.9826;
4.93383e-07;1.56825;1.98278;
4.93388e-07;1.58875;1.9829;
4.93393e-07;1.60925;1.98298;
4.93398e-07;1.62975;1.983;
4.93403e-07;1.65025;1.98299;
4.93408e-07;1.67075;1.98292;
4.93413e-07;1.69125;1.9828;
4.93418e-07;1.71175;1.98264;
4.93423e-07;1.73225;1.98243;
4.93428e-07;1.75275;1.98217;
4.93433e-07;1.77325;1.98187;
4.93438e-07;1.79375;1.98152;
4.93443e-07;1.81425;1.98112;
4.93448e-07;1.83475;1.98067;
4.93453e-07;1.85525;1.98017;
4.93458e-07;1.87575;1.97963;
4.93463e-07;1.89625;1.97904;
4.93468e-07;1.91675;1.97841;
4.93473e-07;1.93725;1.97772;
4.93478e-07;1.95775;1.97699;
4.93483e-07;1.97825;1.97622;
4.93488e-07;1.99875;1.9754;
4.93493e-07;2.01925;1.97453;
4.93498e-07;2.03975;1.97361;
4.93503e-07;2.06025;1.97265;
4.93508e-07;2.08075;1.97164;
4.93513e-07;2.10125;1.97059;
4.93518e-07;2.12175;1.96949;
4.93523e-07;2.14225;1.96834;
4.93528e-07;2.16275;1.96715;
4.93533e-07;2.18325;1.96591;
4.93538e-07;2.20375;1.96463;
4.93543e-07;2.22425;1.96331;
4.93548e-07;2.24475;1.96193;
4.93553e-07;2.26525;1.96052;
4.93558e-07;2.28575;1.95906;
4.93563e-07;2.30625;1.95755;
4.93568e-07;2.32675;1.956;
4.93573e-07;2.34725;1.95441;
4.93578e-07;2.36775;1.95277;
4.93583e-07;2.38825;1.95109;
4.93588e-07;2.40875;1.94936;
4.93593e-07;2.42925;1.94759;
4.93598e-07;2.44975;1.94578;
4.93603e-07;2.47025;1.94393;
4.93608e-07;2.49075;1.94203;
4.93613e-07;2.51125;1.94009;
4.93618e-07;2.53175;1.93811;
4.93623e-07;2.55225;1.93608;
4.93628e-07;2.57275;1.93402;
4.93633e-07;2.59325;1.93191;
4.93638e-07;2.61375;1.92976;
4.93643e-07;2.63425;1.92757;
4.93648e-07;2.65475;1.92534;
4.93653e-07;2.67525;1.92307;
4.93658e-07;2.69575;1.92076;
4.93663e-07;2.71625;1.9184;
4.93668e-07;2.73675;1.91601;
4.93673e-07;2.75725;1.91358;
4.93678e-07;2.77775;1.91111;
4.93683e-07;2.79825;1.9086;
4.93688e-07;2.81875;1.90605;
4.93693e-07;2.83925;1.90346;
4.93698e-07;2.85975;1.90083;
4.93703e-07;2.88025;1.89817;
4.93708e-07;2.90075;1.89547;
4.93713e-07;2.92125;1.89273;
4.93718e-07;2.94175;1.88995;
4.93723e-07;2.96225;1.88714;
4.93728e-07;2.98275;1.88429;
4.93733e-07;3.00325;1.8814;
4.93738e-07;3.02375;1.87848;
4.93743e-07;3.04425;1.87552;
4.93748e-07;3.06475;1.87253;
4.93753e-07;3.08525;1.8695;
4.93758e-07;3.10575;1.86643;
4.93763e-07;3.12625;1.86334;
4.93768e-07;3.14675;1.8602;
4.93773e-07;3.16725;1.85704;
4.93778e-07;3.18775;1.85384;
4.93783e-07;3.20825;1.85061;
4.93788e-07;3.22875;1.84734;
4.93793e-07;3.24925;1.84404;
4.93798e-07;3.26975;1.84071;
4.93803e-07;3.29025;1.83735;
4.93808e-07;3.31075;1.83396;
4.93813e-07;3.33125;1.83053;
4.93818e-07;3.35175;1.82707;
4.93823e-07;3.37225;1.82359;
4.93828e-07;3.39275;1.82007;
4.93833e-07;3.41325;1.81652;
4.93838e-07;3.43375;1.81295;
4.93843e-07;3.45425;1.80934;
4.93848e-07;3.47475;1.80571;
4.93853e-07;3.49525;1.80205;
4.93858e-07;3.51575;1.79836;
4.93863e-07;3.53625;1.79464;
4.93868e-07;3.55675;1.79089;
4.93873e-07;3.57725;1.78712;
4.93878e-07;3.59775;1.78332;
